ScanID, TVC_XA, TVC_PER, TVC_COM , Subglottic_XA, Subglottic_PER, Subglottic_COM , InfSub_XA, InfSub_PER, InfSub_COM , MinSliceID, MinSlice_XA, MinSlice_PER, MinSlice_COM, MidT_XA, MidT_PER, MidT_COM
1003, 39.635, 23.7654, -12.4507 -193.388 20.7028, 50.952, 25.762, -13.1843 -190.625 8.74566, 50.952, 25.762, -13.1843 -190.625 8.74566, 419, 39.6211, 23.7414, -12.4445 -193.386 20.8101, 80.6937, 32.0744, -13.6259 -178.918 -17.1618
1004, 69.6003, 33.0617, -0.510981 -128.777 336.282, 85.6021, 33.6207, 0.685384 -124.729 324.393, 85.6021, 33.6207, 0.685384 -124.729 324.393, 413, 69.2369, 32.9868, -0.490641 -128.672 336.022, 91.896, 34.755, 2.03368 -112.358 292.601
1010, 58.6561, 44.0486, -9.80232 -159.998 261.519, 58.2399, 28.0929, -9.1448 -157.645 254.28, 58.2399, 28.0929, -9.1448 -157.645 254.28, 478, 36.1699, 24.2463, -9.18757 -160.457 259.288, 70.084, 29.8162, -7.02391 -139.239 227.069
1012, 55.4493, 29.9974, 7.95346 -131.821 306.231, 83.557, 33.2586, 8.69041 -129.725 299.641, 83.557, 33.2586, 8.69041 -129.725 299.641, 604, 54.5167, 29.866, 7.93187 -131.856 306.346, 95.4901, 35.3723, 13.8029 -114.988 263.138
1015, 61.8998, 37.6936, 8.54328 -126.743 -137.962, 61.2823, 28.1666, 10.1121 -124.311 -149.653, 61.2823, 28.1666, 10.1121 -124.311 -149.653, 392, 48.7012, 26.6147, 9.99595 -126.443 -143.529, 68.3224, 30.2769, 10.1503 -106.233 -177.169
1016, 34.3129, 33.3867, 9.46025 -129.13 -132.451, 71.8479, 30.9814, 11.8705 -127.842 -137.373, 71.8479, 30.9814, 11.8705 -127.842 -137.373, 721, 33.371, 33.3904, 9.32107 -129.081 -132.326, 78.0266, 32.0107, 12.8081 -118.722 -164.904
1018, 28.8583, 20.1043, -3.87831 -176.583 -307.954, 63.4943, 28.4489, -5.19344 -171.858 -321.132, 63.4943, 28.4489, -5.19344 -171.858 -321.132, 540, 25.1781, 20.4253, -4.16922 -175.416 -310.669, 78.3573, 31.9938, -8.9993 -157.183 -344.111
1020, 58.0629, 30.2342, 10.3341 -120.851 306.317, 85.7933, 33.6304, 10.0039 -119.93 296.648, 85.7933, 33.6304, 10.0039 -119.93 296.648, 628, 57.6893, 30.1241, 10.3433 -120.858 306.471, 93.6024, 36.2657, 11.11 -116.303 263.993
1021, 46.8102, 26.5139, -36.894 -144.394 -171.981, 72.2727, 30.7897, -36.1882 -140.805 -184.133, 72.2727, 30.7897, -36.1882 -140.805 -184.133, 412, 46.5868, 27.6443, -36.5975 -143.547 -174.376, 54.915, 27.3012, -35.1417 -128.918 -215.348
1022, 88.7444, 55.0322, 0.630428 -126.105 -88.452, 95.774, 35.2357, 0.450893 -125.72 -99.9864, 95.774, 35.2357, 0.450893 -125.72 -99.9864, 503, 66.1464, 31.7458, 0.863415 -126.453 -91.0456, 91.3839, 35.5831, -4.30887 -115.166 -135.969
1023, 82.1639, 34.9132, -1.07527 -154.944 -268.362, 81.8282, 33.0313, -1.00918 -153.67 -271.565, 81.8282, 33.0313, -1.00918 -153.67 -271.565, 602, 81.3696, 34.948, -1.07571 -154.995 -268.177, 83.5548, 34.5409, -1.24298 -139.301 -297.765
1025, 90.4818, 54.583, -8.73812 -148.685 -224.382, 73.8293, 31.0628, -7.46639 -145.242 -236.476, 73.8293, 31.0628, -7.46639 -145.242 -236.476, 351, 55.4782, 31.8294, -7.40546 -148.477 -228.472, 78.1404, 31.8726, -9.12443 -128.108 -271.179
1027, 17.6689, 16.2757, -3.67661 -122.631 -205.223, 27.0652, 19.261, -3.64599 -121.576 -208.113, 27.0652, 19.261, -3.64599 -121.576 -208.113, 581, 17.4541, 16.2857, -3.67688 -122.661 -205.125, 0, 0, 2.37156e-319 1.97847e-316 6.91217e-310
1029, 49.2237, 26.4571, 3.75764 -133.026 -87.1518, 58.2336, 27.5414, 4.01393 -132.933 -92.0604, 58.2336, 27.5414, 4.01393 -132.933 -92.0604, 518, 49.1343, 26.4829, 3.75423 -133.022 -87.0043, 69.3621, 30.1358, 3.24021 -126.412 -125.979
1030, 81.1808, 34.3581, 0.149402 -129.915 1556.78, 82.8169, 33.3073, 0.0559789 -128.745 1550.73, 82.8169, 33.3073, 0.0559789 -128.745 1550.73, 781, 79.7334, 33.6074, 0.143264 -129.187 1553.41, 79.0796, 32.025, 0.268713 -124.903 1538.08
1032, 48.3533, 26.4958, 0.0937036 -150.599 -146.968, 59.0962, 28.0781, -0.0910924 -150.869 -154.027, 59.0962, 28.0781, -0.0910924 -150.869 -154.027, 503, 46.647, 26.0917, 0.0970676 -150.667 -147.966, 73.5266, 30.7222, -0.347404 -140.742 -188.686
1034, 18.7972, 16.1015, 1.74438 -191.363 -227.732, 40.152, 23.1752, 2.12522 -188.196 -238.432, 40.152, 23.1752, 2.12522 -188.196 -238.432, 768, 12.6963, 14.2202, 1.78817 -190.504 -228.849, 37.8532, 22.8331, 2.11876 -188.801 -236.904
1035, 31.6521, 21.5448, -4.95956 -117.368 -142.993, 62.2544, 28.7265, -4.91531 -115.822 -149.809, 62.2544, 28.7265, -4.91531 -115.822 -149.809, 549, 31.2372, 21.5607, -4.98525 -117.209 -143.226, 68.4416, 29.9238, -9.43362 -103.259 -177.027
1036, 52.0537, 29.1192, 0.578778 -139.186 173.468, 65.7334, 29.1093, -0.03227 -136.75 166.953, 65.7334, 29.1093, -0.03227 -136.75 166.953, 579, 51.0725, 28.3798, 0.522731 -138.898 173.002, 71.9596, 30.6458, -3.58201 -121.584 139.37
1040, 50.8844, 27.4551, -5.47024 -127.606 -155.828, 54.5475, 26.695, -5.34355 -126.086 -158.603, 54.5475, 26.695, -5.34355 -126.086 -158.603, 662, 50.4305, 27.4187, -5.47392 -127.642 -155.757, 50.0683, 25.6804, -4.96471 -122.644 -166.643
1041, 46.3823, 44.3726, -10.3583 -148.083 -157.773, 69.297, 29.9574, -11.0528 -146.008 -166.361, 69.297, 29.9574, -11.0528 -146.008 -166.361, 607, 39.8022, 32.5742, -10.7164 -148.701 -158.965, 73.1327, 31.4218, -15.8382 -134.374 -196.516
